,Unnamed: 0,id,original_language,original_title,popularity
0,0.0,580489.0,en,Venom: Let There Be Carnage,5401.308
1,1.0,524434.0,en,Eternals,3365.535
2,2.0,438631.0,en,Dune,2911.423
3,3.0,796499.0,en,Army of Thieves,2552.437
4,4.0,550988.0,en,Free Guy,1850.47
5,5.0,574060.0,en,Gunpowder Milkshake,1453.423
6,6.0,335983.0,en,Venom,1212.352
7,7.0,610253.0,en,Halloween Kills,1023.024
8,8.0,871964.0,pl,W lesie dziś nie zaśnie nikt 2,1089.852
9,9.0,768449.0,en,American Badger,1148.822
10,10.0,639721.0,en,The Addams Family 2,1031.821
11,11.0,843241.0,ja,劇場版 七つの大罪 光に呪われし者たち,1108.815
12,12.0,566525.0,en,Shang-Chi and the Legend of the Ten Rings,1327.18
13,13.0,568620.0,en,Snake Eyes: G.I. Joe Origins,1052.222
14,14.0,630004.0,en,The Vault,1046.86
15,15.0,672582.0,en,The Deep House,848.536
16,16.0,760747.0,no,I onde dager,863.019
17,17.0,675319.0,en,Zone 414,797.785
18,18.0,635302.0,ja,劇場版「鬼滅の刃」無限列車編,897.913
19,19.0,645788.0,en,The Protégé,832.048
20,20.0,879163.0,pt,Peçanha Contra o Animal,943.619
21,21.0,589754.0,ru,Последний богатырь: Корень зла,835.043
22,22.0,846167.0,pl,W jak morderstwo,957.866
23,23.0,436969.0,en,The Suicide Squad,807.497
24,24.0,703771.0,en,Deathstroke: Knights & Dragons - The Movie,787.704
25,25.0,459151.0,en,The Boss Baby: Family Business,
26,26.0,820511.0,en,Ripper Untold,678.956
27,27.0,772436.0,es,Matando Cabos 2: La Máscara del Máscara,693.568
28,28.0,385128.0,en,F9,701.647
29,29.0,451048.0,en,Jungle Cruise,683.909
30,30.0,508943.0,en,Luca,639.636
31,31.0,613098.0,es,Operación Camarón,585.313
32,32.0,497698.0,en,Black Widow,624.488
33,33.0,760195.0,en,Separation,557.939
34,34.0,675445.0,en,PAW Patrol: The Movie,596.854
35,35.0,744275.0,en,After We Fell,625.512
36,36.0,839436.0,en,Dragon Fury,580.002
37,37.0,874948.0,tr,Kin,579.316
38,38.0,864873.0,en,Hypnotic,514.169
39,39.0,354912.0,en,Coco,573.567
40,40.0,812204.0,en,Rock Dog 2: Rock Around the Park,611.612
41,41.0,379686.0,en,Space Jam: A New Legacy,525.266
42,42.0,637649.0,en,Wrath of Man,541.957
43,43.0,524369.0,en,The Many Saints of Newark,593.17
44,44.0,777620.0,en,Caged,475.873
45,45.0,831405.0,en,Injustice,563.221
46,46.0,681887.0,en,Cosmic Sin,503.598
47,47.0,337404.0,en,Cruella,510.735
48,48.0,637534.0,fr,BAC Nord,486.411
49,49.0,460465.0,en,Mortal Kombat,495.192
50,50.0,774021.0,en,Demonic,422.784
51,51.0,859041.0,zh,疯狂的拳头,504.28
52,52.0,662708.0,ja,劇場版ポケットモンスター ココ,510.2
53,53.0,588228.0,en,The Tomorrow War,439.548
54,54.0,581726.0,en,Infinite,430.839
55,55.0,631843.0,en,Old,427.735
56,56.0,882206.0,en,LOL Surprise: The Movie,414.698
57,57.0,588921.0,en,Ainbo: Spirit of the Amazon,400.934
58,58.0,726684.0,fr,"Miraculous World: Shanghai, la légende de Ladydragon",434.458
59,59.0,375211.0,en,Marvel Knights: Eternals,429.973
60,60.0,791373.0,en,Zack Snyder's Justice League,410.965
61,61.0,634649.0,en,Spider-Man: No Way Home,480.702
62,62.0,370172.0,en,No Time to Die,604.254
63,63.0,706972.0,en,Narco Sub,374.848
64,64.0,669671.0,en,Night Teeth,367.303
65,65.0,503736.0,en,Army of the Dead,364.974
66,66.0,19995.0,en,Avatar,374.059
67,67.0,619297.0,en,Sweet Girl,360.21
68,68.0,399566.0,en,Godzilla vs. Kong,393.812
69,69.0,767304.0,en,Redemption Day,360.237
70,70.0,525660.0,cn,真·三国无双,372.423
71,71.0,840756.0,es,Mi otra yo,501.068
72,72.0,482373.0,en,Don't Breathe 2,366.157
73,73.0,423108.0,en,The Conjuring: The Devil Made Me Do It,311.759
74,74.0,522402.0,en,Finch,
75,75.0,453354.0,fr,Ava,367.131
76,76.0,725273.0,en,Solitary,347.349
77,77.0,685274.0,ja,機動戦士ガンダム 閃光のハサウェイ,371.425
78,78.0,859860.0,en,Catch the Bullet,363.643
79,79.0,825997.0,en,Rogue Hostage,340.663
80,80.0,755812.0,fr,"Miraculous World : New York, les héros unis",326.392
81,81.0,719164.0,en,Women,219.924
82,82.0,602223.0,en,The Forever Purge,321.093
83,83.0,595743.0,en,SAS: Red Notice,328.657
84,84.0,741636.0,en,Bloodthirsty,334.459
85,85.0,1930.0,en,The Amazing Spider-Man,369.323
86,86.0,641501.0,fr,Comment je suis devenu super-héros,320.168
87,87.0,848278.0,en,Jurassic Hunt,305.718
88,88.0,13811.0,en,Knowing,314.469
89,89.0,813258.0,en,Monster Pets: A Hotel Transylvania Short,307.614
90,90.0,512195.0,en,Red Notice,282.641
91,91.0,672322.0,ja,るろうに剣心 最終章 The Beginning,310.225
92,92.0,592350.0,ja,僕のヒーローアカデミア THE MOVIE ヒーローズ：ライジング,326.465
93,93.0,878962.0,en,Sharkdog’s Fintastic Halloween,261.208
94,94.0,763873.0,en,Under Wraps,273.852
95,95.0,843906.0,en,Straight Outta Nowhere: Scooby-Doo! Meets Courage the Cowardly Dog,310.694
96,96.0,527774.0,en,Raya and the Last Dragon,308.607
