Unnamed: 0,id,release_date,vote_average,vote_count,revenue,runtime,original_language,original_title,popularity
0,580489,2021/09/30,6.8,1736.0,424000000.0,97.0,en,Venom: Let There Be Carnage,5401.308
1,524434,2021/11/03,7.1,622.0,165000000.0,157.0,en,Eternals,3365.535
2,438631,2021/09/15,8.0,3632.0,331116356.0,155.0,en,Dune,2911.423
3,796499,2021/10/27,6.9,555.0,0.0,127.0,en,Army of Thieves,2552.437
4,550988,2021/08/11,7.8,3493.0,331096766.0,115.0,en,Free Guy,1850.47
5,574060,2021/07/14,6.5,347.0,344931.0,114.0,en,Gunpowder Milkshake,1453.423
6,335983,2018/09/28,6.8,12126.0,855013954.0,112.0,en,Venom,1212.352
7,610253,2021/10/14,7.0,1134.0,118852075.0,105.0,en,Halloween Kills,1023.024
8,871964,2021/10/27,4.1,72.0,0.0,96.0,pl,W lesie dziś nie zaśnie nikt 2,1089.852
9,768449,2021/03/05,6.3,14.0,0.0,88.0,en,American Badger,1148.822
10,639721,2021/10/01,7.4,562.0,93258233.0,93.0,en,The Addams Family 2,1031.821
11,843241,2021/07/02,8.4,210.0,0.0,0.0,ja,劇場版 七つの大罪 光に呪われし者たち,1108.815
12,566525,2021/09/01,7.7,1414.0,427480601.0,132.0,en,Shang-Chi and the Legend of the Ten Rings,1327.18
13,568620,2021/07/22,6.9,786.0,36964325.0,121.0,en,Snake Eyes: G.I. Joe Origins,1052.222
14,630004,2021/03/03,7.1,392.0,0.0,118.0,en,The Vault,1046.86
15,672582,2021/06/30,5.5,112.0,0.0,85.0,en,The Deep House,848.536
16,760747,2021/07/30,6.8,118.0,0.0,113.0,no,I onde dager,863.019
17,675319,2021/09/03,5.8,86.0,0.0,98.0,en,Zone 414,797.785
18,635302,2020/10/16,8.4,1833.0,503063688.0,117.0,ja,劇場版「鬼滅の刃」無限列車編,897.913
19,645788,2021/08/19,6.8,330.0,8115215.0,109.0,en,The Protégé,832.048
20,879163,2021/10/22,5.4,13.0,0.0,67.0,pt,Peçanha Contra o Animal,943.619
21,589754,2021/01/01,7.0,63.0,27658331.0,120.0,ru,Последний богатырь: Корень зла,835.043
22,846167,2021/06/18,5.8,25.0,0.0,104.0,pl,W jak morderstwo,957.866
23,436969,2021/07/28,7.8,4695.0,167381210.0,132.0,en,The Suicide Squad,807.497
24,703771,2020/08/04,7.0,294.0,0.0,87.0,en,Deathstroke: Knights & Dragons - The Movie,787.704
25,459151,2021/07/01,7.7,1582.0,112000000.0,107.0,en,The Boss Baby: Family Business,
26,820511,2021/06/28,6.5,47.0,0.0,85.0,en,Ripper Untold,678.956
27,772436,2021/10/01,7.9,57.0,0.0,0.0,es,Matando Cabos 2: La Máscara del Máscara,693.568
28,385128,2021/05/19,7.4,4302.0,721077945.0,143.0,en,F9,701.647
29,451048,2021/07/28,7.8,3111.0,213644366.0,127.0,en,Jungle Cruise,683.909
30,508943,2021/06/17,8.0,5020.0,49010641.0,95.0,en,Luca,639.636
31,613098,2021/06/24,5.5,17.0,0.0,90.0,es,Operación Camarón,585.313
32,497698,2021/07/07,7.7,5823.0,378328978.0,134.0,en,Black Widow,624.488
33,760195,2021/04/30,6.0,77.0,0.0,107.0,en,Separation,557.939
34,675445,2021/08/09,7.7,660.0,121000000.0,86.0,en,PAW Patrol: The Movie,596.854
35,744275,2021/09/01,7.4,766.0,19000000.0,99.0,en,After We Fell,625.512
36,839436,2021/06/15,6.0,21.0,0.0,88.0,en,Dragon Fury,580.002
37,874948,2021/10/08,6.6,32.0,0.0,104.0,tr,Kin,579.316
38,864873,2021/10/27,6.2,214.0,0.0,88.0,en,Hypnotic,514.169
39,354912,2017/10/27,8.2,14756.0,800526015.0,105.0,en,Coco,573.567
40,812204,2021/06/24,7.6,25.0,0.0,90.0,en,Rock Dog 2: Rock Around the Park,611.612
41,379686,2021/07/08,7.3,2550.0,148810604.0,115.0,en,Space Jam: A New Legacy,525.266
42,637649,2021/04/22,7.8,2598.0,103966489.0,119.0,en,Wrath of Man,541.957
43,524369,2021/09/22,6.8,201.0,11620603.0,120.0,en,The Many Saints of Newark,593.17
44,777620,2021/01/26,6.6,39.0,0.0,81.0,en,Caged,475.873
45,831405,2021/10/09,8.0,339.0,0.0,78.0,en,Injustice,563.221
46,681887,2021/03/12,4.4,363.0,0.0,88.0,en,Cosmic Sin,503.598
47,337404,2021/05/26,8.3,5879.0,233274812.0,134.0,en,Cruella,510.735
48,637534,2021/08/18,7.7,483.0,0.0,105.0,fr,BAC Nord,486.411
49,460465,2021/04/07,7.3,4000.0,83601013.0,110.0,en,Mortal Kombat,495.192
50,774021,2021/07/29,4.9,74.0,0.0,104.0,en,Demonic,422.784
51,859041,2017/05/25,7.6,37.0,0.0,97.0,zh,疯狂的拳头,504.28
