,id,release_date,vote_average,vote_count,revenue,runtime
0,580489,2021/09/30,6.8,1736,424000000,97
1,524434,2021/11/03,7.1,622,165000000,157
2,438631,2021/09/15,8,3632,331116356,155
3,796499,2021/10/27,6.9,555,0,127
4,550988,2021/08/11,7.8,3493,331096766,115
5,574060,2021/07/14,6.5,347,344931,114
6,335983,2018/09/28,6.8,12126,855013954,112
7,610253,2021/10/14,7,1134,118852075,105
8,871964,2021/10/27,4.1,72,0,96
9,768449,2021/03/05,6.3,14,0,88
10,639721,2021/10/01,7.4,562,93258233,93
11,843241,2021/07/02,8.4,210,0,0
12,566525,2021/09/01,7.7,1414,427480601,132
13,568620,2021/07/22,6.9,786,36964325,121
14,630004,2021/03/03,7.1,392,0,118
15,672582,2021/06/30,5.5,112,0,85
16,760747,2021/07/30,6.8,118,0,113
17,675319,2021/09/03,5.8,86,0,98
18,635302,2020/10/16,8.4,1833,503063688,117
19,645788,2021/08/19,6.8,330,8115215,109
20,879163,2021/10/22,5.4,13,0,67
21,589754,2021/01/01,7,63,27658331,120
22,846167,2021/06/18,5.8,25,0,104
23,436969,2021/07/28,7.8,4695,167381210,132
24,703771,2020/08/04,7,294,0,87
25,459151,2021/07/01,7.7,1582,112000000,107
26,820511,2021/06/28,6.5,47,0,85
27,772436,2021/10/01,7.9,57,0,0
28,385128,2021/05/19,7.4,4302,721077945,143
29,451048,2021/07/28,7.8,3111,213644366,127
30,508943,2021/06/17,8,5020,49010641,95
31,613098,2021/06/24,5.5,17,0,90
32,497698,2021/07/07,7.7,5823,378328978,134
33,760195,2021/04/30,6,77,0,107
34,675445,2021/08/09,7.7,660,121000000,86
35,744275,2021/09/01,7.4,766,19000000,99
36,839436,2021/06/15,6,21,0,88
37,874948,2021/10/08,6.6,32,0,104
38,864873,2021/10/27,6.2,214,0,88
39,354912,2017/10/27,8.2,14756,800526015,105
40,812204,2021/06/24,7.6,25,0,90
41,379686,2021/07/08,7.3,2550,148810604,115
42,637649,2021/04/22,7.8,2598,103966489,119
43,524369,2021/09/22,6.8,201,11620603,120
44,777620,2021/01/26,6.6,39,0,81
45,831405,2021/10/09,8,339,0,78
46,681887,2021/03/12,4.4,363,0,88
47,337404,2021/05/26,8.3,5879,233274812,134
48,637534,2021/08/18,7.7,483,0,105
49,460465,2021/04/07,7.3,4000,83601013,110
50,774021,2021/07/29,4.9,74,0,104
51,859041,2017/05/25,7.6,37,0,97
52,662708,2020/12/25,7.3,59,0,98
53,588228,2021/07/02,8.1,4522,0,138
54,581726,2021/09/09,6.9,553,0,106
55,631843,2021/07/21,6.7,1593,89500000,108
56,882206,2021/10/08,7.5,31,0,0
57,588921,2021/02/09,7.2,220,0,84
58,726684,2021/05/15,8,362,0,52
59,375211,2014/09/16,5.6,5,0,118
60,791373,2021/03/18,8.4,6803,657000000,242
61,634649,2021/12/15,0,0,0,0
62,370172,2021/09/29,7.4,1209,667000000,163
63,706972,2021/01/22,7.1,59,0,93
64,669671,2021/10/20,6.8,299,0,107
65,503736,2021/05/14,6.4,2514,780000,148
66,19995,2009/12/10,7.5,24280,2847246203,162
67,619297,2021/08/18,6.9,697,0,110
68,399566,2021/03/24,7.9,7185,467863133,113
69,767304,2021/01/08,6.7,150,0,100
70,525660,2021/04/29,6.7,71,0,117
71,840756,2021/06/15,6.3,3,0,89
72,482373,2021/08/12,7.7,1114,45000000,98
73,423108,2021/05/25,7.8,3856,199166992,111
74,522402,2021/11/04,8,522,0,115
75,453354,2017/06/21,6,121,0,106
76,725273,2020/08/31,5.8,59,0,89
77,685274,2021/06/11,8.1,57,0,96
78,859860,2021/09/10,5.6,67,0,89
79,825997,2021/06/11,6.4,101,0,94
80,755812,2020/11/21,8.3,812,0,55
81,719164,2021/04/08,6.1,14,0,90
82,602223,2021/06/30,7.4,1396,76981630,103
83,595743,2021/08/11,6,259,0,120
84,741636,2021/04/23,6.6,16,0,82
85,1930,2012/06/23,6.6,13495,757930663,136
86,641501,2020/11/19,6.1,292,0,101
87,848278,2021/08/26,5,153,0,83
88,13811,2009/03/19,6.1,4067,155446362,121
89,813258,2021/04/02,7.5,254,0,6
90,512195,2021/11/05,7.4,19,0,116
91,672322,2021/06/04,7.9,202,0,138
92,592350,2019/12/20,8.5,816,29900850,104
93,878962,2021/10/15,3.7,3,0,24
94,763873,2021/10/01,7.1,41,0,91
95,843906,2021/09/14,8.3,221,0,72
96,527774,2021/03/03,8.1,4514,130000000,107
97,299536,2018/04/25,8.3,23027,2046239637,149
98,613504,2020/09/02,7.3,4262,42000000,105
99,539885,2020/07/02,5.7,1785,2987741,96
100,597316,2021/09/23,8.1,131,0,91
101,522444,2020/07/09,5.1,284,0,98
102,680319,2021/04/23,5.7,12,0,82
103,458576,2020/12/03,6.9,2236,25814306,104
104,613583,2021/06/02,5.4,27,0,83
105,36419,2009/11/07,6.1,803,3606395,104
106,632357,2021/03/31,6.9,1410,30763855,99
107,861057,2021/08/13,7.4,16,0,87
108,597891,2021/09/10,6.8,740,0,106
109,846214,2021/07/07,7.6,431,0,6
110,482321,2021/10/15,7.3,41,46000000,106
111,529203,2020/11/25,7.6,2621,168285000,95
112,678580,2021/07/15,8.3,286,0,86
113,734265,2021/11/05,6.6,170,0,105
114,568124,2021/11/24,0,0,0,99
115,324786,2016/10/07,8.2,10136,175302354,139
116,839100,2021/10/12,6.2,22,0,80
117,20982,2007/08/04,7.3,382,0,94
118,634528,2021/01/15,7.1,950,22039969,108
119,763164,2021/11/12,5.3,50,0,108
120,464052,2020/12/16,6.6,6105,165160005,151
121,573164,2021/08/12,8.1,256,0,0
122,520763,2021/05/21,7.7,3294,297372261,97
123,619778,2021/09/01,7.1,979,24640084,112
124,529106,2021/04/01,6.8,342,4493306,136
125,729720,2021/07/30,6.8,431,0,110
126,883648,2021/10/22,4.9,13,0,94
127,739990,2021/09/15,6.6,183,0,103
128,857702,2021/10/01,6.6,85,0,45
129,671,2001/11/16,7.9,21302,976475550,152
130,315635,2017/07/05,7.4,17065,880166924,133
131,385687,2023/04/06,0,0,0,0
132,880009,2021/10/01,3.3,5,0,0
133,826914,2021/10/08,6.9,86,0,52
134,617502,2021/07/15,6.8,753,0,91
135,429617,2019/06/28,7.5,10893,1131927996,129
136,800497,2021/06/25,6.1,179,250811,97
137,537915,2019/04/11,7.2,6704,69497587,106
138,347201,2015/08/07,7.7,917,40200000,95
139,587807,2021/02/11,7.1,1831,132000000,101
140,559,2007/05/01,6.3,10473,890871626,139
141,585083,2022/01/14,0,0,0,0
142,508442,2020/12/25,8.2,7165,136384442,101
143,317442,2014/12/06,7.9,1069,16500000,114
144,567189,2021/04/29,7.2,1641,0,109
145,449406,2021/07/30,7.7,415,0,99
146,719088,2020/12/11,6.4,11,0,53
147,522241,2021/03/18,7.2,456,24901420,112
