feature_a,feature_b,feature_c,feature_d,feature_e,class
29.53,0.04,22238,7,South,
5.45,0.778,16735,3,South,
1.71,0.777,14541,10,South,
83.69,0.928,17721,0,South,
3.48,0.171,12272,1,South,
75.98,0.188,14147,2,West,
65.43,0.615,24267,6,South,
56.61,0.902,19871,9,South,
84.43,0.795,10988,8,West,
28.57,0.959,19528,10,East,
37.97,0.057,15704,1,South,
91.14,0.945,17755,7,East,
10.12,0.48,16593,9,North,
81.29,0.219,8555,8,North,
75.97,0.279,8740,7,West,
43.31,0.827,13934,6,West,
46.17,0.214,3814,7,South,
94.6,0.54,408,7,East,
99.21,0.053,10775,3,East,
42.97,0.07,24645,4,South,
31.01,0.136,11774,9,West,
35.07,0.549,3777,1,East,
51.14,0.629,10736,4,South,
33.22,0.837,4753,2,East,
88.99,0.116,12431,9,West,
65.66,0.72,20310,4,North,
51.96,0.45,22160,3,South,
49.01,0.103,558,4,South,
35.49,0.452,7488,7,South,
15.24,0.379,6646,4,North,
31.82,0.677,25249,3,North,
69.46,0.055,24030,3,North,
29.25,0.95,13585,10,West,
10.81,0.564,2112,6,East,
1.33,0.821,25986,6,West,
6.28,0.173,9230,2,South,
24.25,0.582,17039,2,East,
91.93,0.822,7380,6,East,
5.71,0.448,15031,1,West,
73.55,0.56,9738,2,West,
49.49,0.391,11172,3,South,
80.19,0.509,15821,1,East,
65.31,0.526,15347,6,North,
29.84,0.174,17061,1,West,
92.1,0.384,18069,6,North,
16.51,0.846,14463,9,North,
80.94,0.568,456,2,West,
79.79,0.575,4255,4,East,
81.61,0.796,15104,4,West,
72.48,0.52,23109,1,East,
67.49,0.143,9199,0,South,
77.61,0.759,4276,7,North,
50.44,0.288,18636,9,East,
67.08,0.947,22606,7,South,
3.1,0.442,7170,6,West,
82.16,0.912,1111,5,South,
22.66,0.701,10903,2,North,
97.26,0.682,2333,7,West,
96.58,0.792,21966,5,South,
92.24,0.6,19187,7,South,
5.79,0.529,2915,10,South,
12.65,0.71,5124,5,South,
83.32,0.869,18527,4,East,
18.92,0.83,165,6,North,
76.79,0.931,2865,3,South,
69.48,0.064,26575,9,West,
46.07,0.922,13107,2,West,
41.66,0.42,24210,9,North,
62.23,0.998,3033,0,North,
15.32,0.158,5202,3,South,
49.7,0.896,16087,9,North,
9.53,0.133,23159,3,South,
59.05,0.063,22321,8,East,
14.16,0.048,8864,9,North,
5.84,0.857,4273,4,South,
11.38,0.242,23212,9,East,
89.43,0.115,4510,1,East,
41.45,0.688,9249,6,East,
93.68,0.041,8411,2,South,
8.96,0.893,10852,6,West,
35.74,0.582,1160,1,West,
15.03,0.329,18211,2,South,
32.94,0.278,26272,2,East,
6.21,0.342,8853,0,West,
12.02,0.706,9265,7,South,
38.49,0.255,12482,1,North,
32.87,0.732,2763,1,South,
4.97,0.975,5607,10,South,
81.65,0.106,11855,8,East,
43.54,0.36,5496,5,North,
53.37,0.583,5219,9,North,
56.11,0.253,16337,7,East,
84.61,0.265,16043,9,South,
69.77,0.856,1383,9,North,
71.15,0.555,24039,3,North,
77.72,0.724,17456,9,West,
59.71,0.317,9509,6,South,
24.94,0.043,896,9,East,
76.48,0.785,11476,6,East,
3.46,0.821,15521,8,East,
